query_id|query_text|category|project|difficulty|freshness_sensitive|authority_sensitive|exact_identifier_dependency|evidence_required|source_generation_method|grounding_document_id|grounding_excerpt_checksum|review_status
candidate-0672fce2f51f|How should an engineer use the API or interface for Lifecycle of a volume snapshot and volume snapshot content in Kubernetes?|API usage|Kubernetes|advanced|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-storage-volume-snapshots-md|f784352fe91e88971ce8b38cdd56dc02f6e47eeec1e714b5bee0ee0e7228bb84|NEEDS_HUMAN_REVIEW
candidate-0711defb2693|How should an engineer use the API or interface for Custom resources are extensions of the Kubernetes API in Kubernetes?|API usage|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-extend-kubernetes-api-extension-index-md|3c8f2e2f6b9d4aa9b3bd60910a0031ef59af0ae0a7de0928ec26ccb02680d1e5|NEEDS_HUMAN_REVIEW
candidate-0793e62883d1|How should an engineer use the API or interface for API Reference in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-index-md|d2e8f20fa68406589cc24407273bd2ac97e3b0b6d0c30cd4baeb05c5f762ce2f|NEEDS_HUMAN_REVIEW
candidate-07a030c200d8|How should an engineer use the API or interface for Pod scheduling constraints in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-cluster-administration-node-autoscaling-md|d2196508a7ce7b5499c3933143c0c085edf8be3cc09fc2c1ad3adb4787d2900b|NEEDS_HUMAN_REVIEW
candidate-08e2ae02d4ca|How should an engineer use the API or interface for Kubernetes provides several built-in APIs for declarative management of your and the components of t in Kubernetes?|API usage|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-controllers-index-md|5cf4a38e9d37487ad1f9592d34aeddec0fb712a9712bea2919816187f8851568|NEEDS_HUMAN_REVIEW
candidate-097e7cd9df8e|How should an engineer use the API or interface for How to use priority and preemption in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-scheduling-eviction-pod-priority-preemption-md|99ec775a8c4320d7beed713caeee8cf6c8011501eb3a70af4acc67957698d568|NEEDS_HUMAN_REVIEW
candidate-09e34b44a7a7|How should an engineer use the API or interface for Updating TTL for finished Jobs in Kubernetes?|API usage|Kubernetes|intermediate|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-controllers-ttlafterfinished-md|f4c6269648db1408961617f951ea629168a379eae5055f1b20c11e979ce1cbdd|NEEDS_HUMAN_REVIEW
candidate-0a1d5c39eef9|How should an engineer use the API or interface for The kubelet API in Kubernetes?|API usage|Kubernetes|intermediate|False|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-security-api-server-bypass-risks-md|a960c904765a3bc924dd05d970c3d6981e93f0d2e8cafd095cc5530f15331aa5|NEEDS_HUMAN_REVIEW
candidate-0a2aad8e1d07|How should an engineer use the API or interface for The VolumeSnapshotClass Resource in Kubernetes?|API usage|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-storage-volume-snapshot-classes-md|a09c78e663d8e0068f5c135480a95b3c07b4c7022e645fa659b2822c221d7f53|NEEDS_HUMAN_REVIEW
candidate-0a7f19337b75|How should an engineer use the API or interface for Namespaces of Services in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-services-networking-dns-pod-service-md|b16d2b42e943a5909e02b5a145ce813734adc038a01cf25e5387a2b6bab2b3db|NEEDS_HUMAN_REVIEW
candidate-0aa0cc3e445b|How should an engineer use the API or interface for Minimize distribution of privileged tokens in Kubernetes?|API usage|Kubernetes|intermediate|False|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-security-rbac-good-practices-md|d389cc4a08fa0f16037ffb3dea92d8ef9841fd39f49885c953fad1ab88828ef2|NEEDS_HUMAN_REVIEW
candidate-0b2648346fd3|How should an engineer use the API or interface for Specifying a scheduling group in Kubernetes?|API usage|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-pods-scheduling-group-md|6e4b4486b07644ce8abf622cd0e04eccaa1df2cd33638e133f57eb0937052302|NEEDS_HUMAN_REVIEW
candidate-002e7bf1a4e6|How should an engineer use the API or interface for Creating a Database in PostgreSQL?|API usage|PostgreSQL|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-manage-ag-sgml|d54acc1bf581483d505621f7e2679775848d793583ff10963f3da14408518d35|NEEDS_HUMAN_REVIEW
candidate-037699cc4d7f|How should an engineer use the API or interface for pgreceivexlog renamed to pgreceivewal in PostgreSQL?|API usage|PostgreSQL|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-appendix-obsolete-pgreceivexlog-sgml|879095b772407e976e3a71fb220842d21782280156707c2c53c9b518e6c36a0b|NEEDS_HUMAN_REVIEW
candidate-038a1c5c234d|How should an engineer use the API or interface for System Catalog Declaration Rules in PostgreSQL?|API usage|PostgreSQL|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-bki-sgml|3bffbd189ad703c901238013773dc433e444ead07be66a605b2aa2d57e0d1562|NEEDS_HUMAN_REVIEW
candidate-058ac34dd759|How should an engineer use the API or interface for Managing Database Connections in PostgreSQL?|API usage|PostgreSQL|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-ecpg-sgml|b61e6a17aa7fa3684fdfaa5cb0df57217f7ddf495f10673663078cecbab46a14|NEEDS_HUMAN_REVIEW
candidate-067840f8ad49|How should an engineer use the API or interface for PL/Tcl &mdash; Tcl Procedural Language in PostgreSQL?|API usage|PostgreSQL|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-pltcl-sgml|8c5fc35730eb3c638ffd0f55f6076c0f2da22dd4c69b6e2bc5d3662316ac7e50|NEEDS_HUMAN_REVIEW
candidate-082f19892fd4|How should an engineer use the API or interface for Array Operators in PostgreSQL?|API usage|PostgreSQL|intermediate|False|False|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-func-func-array-sgml|f04c374d42e83d76efa27a12523ee993846cf68753450a3f8bc326771b41af3e|NEEDS_HUMAN_REVIEW
candidate-0a35a0c3f53c|How should an engineer use the API or interface for Comparison Functions and Operators in PostgreSQL?|API usage|PostgreSQL|intermediate|False|True|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-func-func-comparison-sgml|3fe985eae388f065350ac30951f565fcba90075e4d420748d0782be500e72fdd|NEEDS_HUMAN_REVIEW
candidate-000133eacd96|How does Officially supported client libraries fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-index-md|d2e8f20fa68406589cc24407273bd2ac97e3b0b6d0c30cd4baeb05c5f762ce2f|NEEDS_HUMAN_REVIEW
candidate-0021e737222c|How does You can enable the MultiCIDRServiceAllocator feature gate fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-disableallocatordualwrite-md|1a0f0feecd2d22a535b4bf5e9191ae4c6bdc23c4b552ceebcbdebc23e7e7e15a|NEEDS_HUMAN_REVIEW
candidate-0069b8c50786|How does Allows updating node scheduling directives in the pod template of Job fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-jobmutablenodeschedulingdirectives-md|a092dcecb354de62a1241cf5143f47d7e3cb4f1a8b4c05cc722e41586d7931bd|NEEDS_HUMAN_REVIEW
candidate-007a9565e768|How does Enables shims and translation logic to route volume operations from the Portworx in-tree plugin to P fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-csimigrationportworx-md|772369eb35ed3ddfc9b1279bec7015752195d7f69dd6e96a28d6018c2e0f98c8|NEEDS_HUMAN_REVIEW
candidate-00a511a940a6|How does Distribute lifecycle phase fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-security-cloud-native-security-md|e4ed68e43562f85ab6134b46b264fce3497458946215c6ada0de37cabaf78cf4|NEEDS_HUMAN_REVIEW
candidate-0292a340ae0c|How does Use case: Secret visible to one container in a Pod fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-configuration-secret-md|021f46c6d357898f6a979521d26cc6afedfe019bb3427c0369fd31a29218c1c5|NEEDS_HUMAN_REVIEW
candidate-039378af6c25|How does Schedule syntax fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-controllers-cron-jobs-md|e802cf06f91b853e209d5457638d38667f9848d8f8cda64aec16861f90302632|NEEDS_HUMAN_REVIEW
candidate-042a662fdce0|How does Identify whether you use admission webhooks fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-cluster-administration-admission-webhooks-good-practices-md|fcc273d8485bb3d046faef4c3310d3f4239978711954ad90e3df5d4f32aa047e|NEEDS_HUMAN_REVIEW
candidate-05ae3becee4d|How does Example RBAC patterns fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-security-hardening-guide-dynamic-resource-allocation-md|8016e708c272ca243900793286b8fa9ddb2ef7b23e81dad1ca5e0c3ac5f98b75|NEEDS_HUMAN_REVIEW
candidate-0c41290647e7|How does Add support for distributed tracing in the kubelet fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kubelettracing-md|b68a3e87f9ba100bfde26fc50b800e9d28d7ae67a5da150f909390b251b3e0a7|NEEDS_HUMAN_REVIEW
candidate-0d84e42c47be|How does Troubleshooting stuck evictions fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-scheduling-eviction-api-eviction-md|58bde794ae8be42b0e42fce2417ab0a218918cb8e6231916f7b1d30213ce400a|NEEDS_HUMAN_REVIEW
candidate-0dd721afd168|How does Enables KMS v2 API for encryption at rest fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kmsv2-md|adfae447c3d1bb325113dfb18036623e1b24f9bc50bbb6dd1d6a73e7375de6ce|NEEDS_HUMAN_REVIEW
candidate-0e6ca5e95551|How does Enables KMS v1 API for encryption at rest fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kmsv1-md|7250f7168fe650d7e1e25c819b595ecfb569931aea825f73a69456a8c97bdd76|NEEDS_HUMAN_REVIEW
candidate-0e7b43797e6d|How does Klog output fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-cluster-administration-system-logs-md|55f47c52b61e71a9860282c371e15ebac2daddfb363dce70feb8e608a25e995a|NEEDS_HUMAN_REVIEW
candidate-0e93aca34b29|How does X.509 client certificate authentication fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|False|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-security-hardening-guide-authentication-mechanisms-md|746aa3008392e493cce2c0e170265e9ef93cd7cb8f0ccfb889121acdebaf325e|NEEDS_HUMAN_REVIEW
candidate-0e9ff76f2ecf|How does Anonymous requests fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-access-authn-authz-authentication-md|f8f59d1f99cbc0b3bcefd9b1c1129a9ed68086a104f5c58413a96ebd5321652a|NEEDS_HUMAN_REVIEW
candidate-0f28c018c777|How does Default Pod hostname fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-pods-pod-hostname-md|9917345cac9c650db737b2ad7070bb9a492379d467db9a05137cf2ce3be425a8|NEEDS_HUMAN_REVIEW
candidate-0f7853017781|How does How does a VerticalPodAutoscaler work? fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-autoscaling-vertical-pod-autoscale-md|2003a9132937630ae7265f516812fc145a6a8bb22180f7f82da76b6a91f50292|NEEDS_HUMAN_REVIEW
candidate-0f8bd466b129|How does Enable container log rotation for CRI container runtime fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-cricontainerlogrotation-md|45e352f0c231ae28dee897ce9c4fbfc8b7edfc03f8a9bc00786da28cb2cfc178|NEEDS_HUMAN_REVIEW
candidate-0f97823b67f1|How does IP address management (IPAM) fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-services-networking-windows-networking-md|156b083cbb88200e34bb5c15a32944cc867e0d75755d610876e30db4d505501d|NEEDS_HUMAN_REVIEW
candidate-0fb05aeeb510|How does Enables Leader Migration for kube-controller-manager and cloud-controller-manager which allows a clu fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-controllermanagerleadermigration-md|41569ad11f15997f052147c203baeea15965f44e05d859f3cb5c92b0a2b2060d|NEEDS_HUMAN_REVIEW
candidate-1035b4a340a3|How does How API-initiated eviction works fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-scheduling-eviction-api-eviction-md|58bde794ae8be42b0e42fce2417ab0a218918cb8e6231916f7b1d30213ce400a|NEEDS_HUMAN_REVIEW
candidate-10f4ecf53e05|How does Types of resource quota fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-policy-resource-quotas-md|163d6ca1ae3eb48c4906e43bf22e693221f51308a971c5d54f83e8bdaae6fa80|NEEDS_HUMAN_REVIEW
candidate-119324effd20|How does Configure the kube-controller-manager to publish a to every namespace fit into the architecture of Kubernetes?|architecture|Kubernetes|advanced|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-rootcaconfigmap-md|e65ce2d2fa495d0384d939fa0b5f1be34b718a71e72bdd49d04534b62a8d45de|NEEDS_HUMAN_REVIEW
candidate-1211da9797b4|How does Example Use Cases fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-scheduling-eviction-taint-and-toleration-md|632e280fc29f83c0677cffc04ab4621517cd5f69474567d6f8f49df4d0059ab0|NEEDS_HUMAN_REVIEW
candidate-138224e8233f|How does Use upper camel case for API objects fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-contribute-style-style-guide-md|6c98267a687ed7b6421c251448028326ba66b64e9e23cf07971fcc2510db78e8|NEEDS_HUMAN_REVIEW
candidate-1496b15b41bc|How does Using Pods fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-pods-index-md|8296f013d7059ca7fba06bd510ead9bb1d3882338880b07eb3d128719eb785f2|NEEDS_HUMAN_REVIEW
candidate-157a43db729e|How does Control plane components fit into the architecture of Kubernetes?|architecture|Kubernetes|intermediate|False|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-architecture-index-md|368715a6d991423c687d49edaf2f1e1164a6c5426cb83e5942eff8e13582d4f1|NEEDS_HUMAN_REVIEW
candidate-076f704a8298|How does Data Definition fit into the architecture of PostgreSQL?|architecture|PostgreSQL|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-ddl-sgml|6531a041561f9d73f857d088cc888a957fa7587f58c2fba7fdf229fed03b58b3|NEEDS_HUMAN_REVIEW
candidate-0efaf4409b7c|How does Client Applications fit into the architecture of PostgreSQL?|architecture|PostgreSQL|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|postgresql-docs-doc-src-sgml-contrib-sgml|3a0be2bbde5e6437befef26d1a374107739b85961e035d89f6386248445fb198|NEEDS_HUMAN_REVIEW
candidate-00cd82d78a0c|How can an engineer verify version compatibility for You can enable the MultiCIDRServiceAllocator feature gate in Kubernetes?|compatibility|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-disableallocatordualwrite-md|1a0f0feecd2d22a535b4bf5e9191ae4c6bdc23c4b552ceebcbdebc23e7e7e15a|NEEDS_HUMAN_REVIEW
candidate-0264a6d7a41f|How can an engineer verify version compatibility for Third party ingress controllers in Kubernetes?|compatibility|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-services-networking-ingress-controllers-md|c29875d6988a0a6090ebbfc4baba56cb29a5eebd84032fd1d0ce43050642b4fa|NEEDS_HUMAN_REVIEW
candidate-076aed4c8d83|How can an engineer verify version compatibility for Overview of update-imported-docs in Kubernetes?|compatibility|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-contribute-generate-ref-docs-quickstart-md|0549239447a12f5d5ae4b6f501a8b4c1dec9127d06b2845de75a982db066e8b5|NEEDS_HUMAN_REVIEW
candidate-0858a36742d7|How can an engineer verify version compatibility for Authorization Algorithm in Kubernetes?|compatibility|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-access-authn-authz-abac-md|b2eaef6d01043d1497db5d226913b7422128fec6f6763562290f43b784b3c8bb|NEEDS_HUMAN_REVIEW
candidate-0b5e601db98e|How can an engineer verify version compatibility for Enables device sharing across multiple ResourceClaims or requests in Kubernetes?|compatibility|Kubernetes|advanced|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-draconsumablecapacity-md|a1895c24fb09ed486da288dff62fea9e335e7512a7bf6cdc91657fafe8e753a7|NEEDS_HUMAN_REVIEW
candidate-0b82b8f1296f|How can an engineer verify version compatibility for What is cgroup v2? in Kubernetes?|compatibility|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-architecture-cgroups-md|bcc86bd29796841acb45bfedc0eb54ff8979de80be090d70d27248015b4108b7|NEEDS_HUMAN_REVIEW
candidate-0ca762f6184a|How can an engineer verify version compatibility for New content task flow in Kubernetes?|compatibility|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-contribute-new-content-index-md|e6d2373b903671be122227b6fe94132e8cd63ce79cb053faefbd5f6d89227eea|NEEDS_HUMAN_REVIEW
candidate-0d7ceaa08993|How can an engineer verify version compatibility for Using volume populators in Kubernetes?|compatibility|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-storage-volume-populators-and-data-sources-md|0a1e82e69d934c1e93b254b1187431f8209a0506dfcf774b9a685567c1bc31ef|NEEDS_HUMAN_REVIEW
candidate-0dfcc5c5b282|How can an engineer verify version compatibility for Enables support for DeviceBindingConditions in the DRA related fields in Kubernetes?|compatibility|Kubernetes|advanced|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-dradevicebindingconditions-md|0675ad664621707feba0bdaef32e4957b52d43e434b0c08c60b9d95fc9e31ffc|NEEDS_HUMAN_REVIEW
candidate-0e3d69c2f0ff|How can an engineer verify version compatibility for When ExtendWebSocketsToKubelet is enabled and a kubelet node advertises support, exec/attach/portfor in Kubernetes?|compatibility|Kubernetes|advanced|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-extend-websockets-to-kubelet-md|a441456a5f39d44666420a25292c8a0270eb00cc6ee2ee5b444d28f6133df8a9|NEEDS_HUMAN_REVIEW
candidate-0eb8e21b56a2|How can an engineer verify version compatibility for Using multiple Ingress controllers in Kubernetes?|compatibility|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-services-networking-ingress-controllers-md|c29875d6988a0a6090ebbfc4baba56cb29a5eebd84032fd1d0ce43050642b4fa|NEEDS_HUMAN_REVIEW
candidate-0f8964d96749|How can an engineer verify version compatibility for Writing for the Kubernetes blog(s) in Kubernetes?|compatibility|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-contribute-blog-submission-md|6b44a939bdaa46b91479ea566660716791c300083cb121495b94c4778eb90984|NEEDS_HUMAN_REVIEW
candidate-102c3a433277|How can an engineer verify version compatibility for Add support for distributed tracing in the kubelet in Kubernetes?|compatibility|Kubernetes|advanced|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kubelettracing-md|b68a3e87f9ba100bfde26fc50b800e9d28d7ae67a5da150f909390b251b3e0a7|NEEDS_HUMAN_REVIEW
