query_id,query_text,category,project,difficulty,grounding_document_id,review_status,reviewer_decision,reviewer_notes
candidate-09e34b44a7a7,How should an engineer use the API or interface for Updating TTL for finished Jobs in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-controllers-ttlafterfinished-md,NEEDS_HUMAN_REVIEW,,
candidate-0a1d5c39eef9,How should an engineer use the API or interface for The kubelet API in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-security-api-server-bypass-risks-md,NEEDS_HUMAN_REVIEW,,
candidate-0a2aad8e1d07,How should an engineer use the API or interface for The VolumeSnapshotClass Resource in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-storage-volume-snapshot-classes-md,NEEDS_HUMAN_REVIEW,,
candidate-0a7f19337b75,How should an engineer use the API or interface for Namespaces of Services in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-services-networking-dns-pod-service-md,NEEDS_HUMAN_REVIEW,,
candidate-0aa0cc3e445b,How should an engineer use the API or interface for Minimize distribution of privileged tokens in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-security-rbac-good-practices-md,NEEDS_HUMAN_REVIEW,,
candidate-0b2648346fd3,How should an engineer use the API or interface for Specifying a scheduling group in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-pods-scheduling-group-md,NEEDS_HUMAN_REVIEW,,
candidate-002e7bf1a4e6,How should an engineer use the API or interface for Creating a Database in PostgreSQL?,API usage,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-manage-ag-sgml,NEEDS_HUMAN_REVIEW,,
candidate-037699cc4d7f,How should an engineer use the API or interface for pgreceivexlog renamed to pgreceivewal in PostgreSQL?,API usage,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-appendix-obsolete-pgreceivexlog-sgml,NEEDS_HUMAN_REVIEW,,
candidate-038a1c5c234d,How should an engineer use the API or interface for System Catalog Declaration Rules in PostgreSQL?,API usage,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-bki-sgml,NEEDS_HUMAN_REVIEW,,
candidate-058ac34dd759,How should an engineer use the API or interface for Managing Database Connections in PostgreSQL?,API usage,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-ecpg-sgml,NEEDS_HUMAN_REVIEW,,
candidate-067840f8ad49,How should an engineer use the API or interface for PL/Tcl &mdash; Tcl Procedural Language in PostgreSQL?,API usage,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-pltcl-sgml,NEEDS_HUMAN_REVIEW,,
candidate-082f19892fd4,How should an engineer use the API or interface for Array Operators in PostgreSQL?,API usage,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-func-func-array-sgml,NEEDS_HUMAN_REVIEW,,
candidate-0a35a0c3f53c,How should an engineer use the API or interface for Comparison Functions and Operators in PostgreSQL?,API usage,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-func-func-comparison-sgml,NEEDS_HUMAN_REVIEW,,
candidate-000133eacd96,How does Officially supported client libraries fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-index-md,NEEDS_HUMAN_REVIEW,,
candidate-0021e737222c,How does You can enable the MultiCIDRServiceAllocator feature gate fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-disableallocatordualwrite-md,NEEDS_HUMAN_REVIEW,,
candidate-0069b8c50786,How does Allows updating node scheduling directives in the pod template of Job fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-jobmutablenodeschedulingdirectives-md,NEEDS_HUMAN_REVIEW,,
candidate-007a9565e768,How does Enables shims and translation logic to route volume operations from the Portworx in-tree plugin to P fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-csimigrationportworx-md,NEEDS_HUMAN_REVIEW,,
candidate-00a511a940a6,How does Distribute lifecycle phase fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-security-cloud-native-security-md,NEEDS_HUMAN_REVIEW,,
candidate-0292a340ae0c,How does Use case: Secret visible to one container in a Pod fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-concepts-configuration-secret-md,NEEDS_HUMAN_REVIEW,,
candidate-039378af6c25,How does Schedule syntax fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-controllers-cron-jobs-md,NEEDS_HUMAN_REVIEW,,
candidate-042a662fdce0,How does Identify whether you use admission webhooks fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-cluster-administration-admission-webhooks-good-practices-md,NEEDS_HUMAN_REVIEW,,
candidate-05ae3becee4d,How does Example RBAC patterns fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-security-hardening-guide-dynamic-resource-allocation-md,NEEDS_HUMAN_REVIEW,,
candidate-0c41290647e7,How does Add support for distributed tracing in the kubelet fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kubelettracing-md,NEEDS_HUMAN_REVIEW,,
candidate-0d84e42c47be,How does Troubleshooting stuck evictions fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-api-eviction-md,NEEDS_HUMAN_REVIEW,,
candidate-0dd721afd168,How does Enables KMS v2 API for encryption at rest fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kmsv2-md,NEEDS_HUMAN_REVIEW,,
candidate-0e6ca5e95551,How does Enables KMS v1 API for encryption at rest fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kmsv1-md,NEEDS_HUMAN_REVIEW,,
candidate-0e7b43797e6d,How does Klog output fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-cluster-administration-system-logs-md,NEEDS_HUMAN_REVIEW,,
candidate-0e93aca34b29,How does X.509 client certificate authentication fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-security-hardening-guide-authentication-mechanisms-md,NEEDS_HUMAN_REVIEW,,
candidate-0e9ff76f2ecf,How does Anonymous requests fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-access-authn-authz-authentication-md,NEEDS_HUMAN_REVIEW,,
candidate-0f28c018c777,How does Default Pod hostname fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-pods-pod-hostname-md,NEEDS_HUMAN_REVIEW,,
candidate-0f7853017781,How does How does a VerticalPodAutoscaler work? fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-autoscaling-vertical-pod-autoscale-md,NEEDS_HUMAN_REVIEW,,
candidate-0f8bd466b129,How does Enable container log rotation for CRI container runtime fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-cricontainerlogrotation-md,NEEDS_HUMAN_REVIEW,,
candidate-0f97823b67f1,How does IP address management (IPAM) fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-services-networking-windows-networking-md,NEEDS_HUMAN_REVIEW,,
candidate-0fb05aeeb510,How does Enables Leader Migration for kube-controller-manager and cloud-controller-manager which allows a clu fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-controllermanagerleadermigration-md,NEEDS_HUMAN_REVIEW,,
candidate-1035b4a340a3,How does How API-initiated eviction works fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-api-eviction-md,NEEDS_HUMAN_REVIEW,,
candidate-10f4ecf53e05,How does Types of resource quota fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-policy-resource-quotas-md,NEEDS_HUMAN_REVIEW,,
candidate-119324effd20,How does Configure the kube-controller-manager to publish a to every namespace fit into the architecture of Kubernetes?,architecture,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-rootcaconfigmap-md,NEEDS_HUMAN_REVIEW,,
candidate-1211da9797b4,How does Example Use Cases fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-taint-and-toleration-md,NEEDS_HUMAN_REVIEW,,
candidate-138224e8233f,How does Use upper camel case for API objects fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-style-style-guide-md,NEEDS_HUMAN_REVIEW,,
candidate-1496b15b41bc,How does Using Pods fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-pods-index-md,NEEDS_HUMAN_REVIEW,,
candidate-157a43db729e,How does Control plane components fit into the architecture of Kubernetes?,architecture,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-architecture-index-md,NEEDS_HUMAN_REVIEW,,
candidate-076f704a8298,How does Data Definition fit into the architecture of PostgreSQL?,architecture,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-ddl-sgml,NEEDS_HUMAN_REVIEW,,
candidate-0efaf4409b7c,How does Client Applications fit into the architecture of PostgreSQL?,architecture,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-contrib-sgml,NEEDS_HUMAN_REVIEW,,
candidate-00cd82d78a0c,How can an engineer verify version compatibility for You can enable the MultiCIDRServiceAllocator feature gate in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-disableallocatordualwrite-md,NEEDS_HUMAN_REVIEW,,
candidate-0264a6d7a41f,How can an engineer verify version compatibility for Third party ingress controllers in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-services-networking-ingress-controllers-md,NEEDS_HUMAN_REVIEW,,
candidate-076aed4c8d83,How can an engineer verify version compatibility for Overview of update-imported-docs in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-generate-ref-docs-quickstart-md,NEEDS_HUMAN_REVIEW,,
candidate-0858a36742d7,How can an engineer verify version compatibility for Authorization Algorithm in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-access-authn-authz-abac-md,NEEDS_HUMAN_REVIEW,,
candidate-0b5e601db98e,How can an engineer verify version compatibility for Enables device sharing across multiple ResourceClaims or requests in Kubernetes?,compatibility,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-draconsumablecapacity-md,NEEDS_HUMAN_REVIEW,,
candidate-0b82b8f1296f,How can an engineer verify version compatibility for What is cgroup v2? in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-architecture-cgroups-md,NEEDS_HUMAN_REVIEW,,
candidate-0ca762f6184a,How can an engineer verify version compatibility for New content task flow in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-new-content-index-md,NEEDS_HUMAN_REVIEW,,
candidate-0d7ceaa08993,How can an engineer verify version compatibility for Using volume populators in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-storage-volume-populators-and-data-sources-md,NEEDS_HUMAN_REVIEW,,
candidate-0dfcc5c5b282,How can an engineer verify version compatibility for Enables support for DeviceBindingConditions in the DRA related fields in Kubernetes?,compatibility,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-dradevicebindingconditions-md,NEEDS_HUMAN_REVIEW,,
candidate-0e3d69c2f0ff,"How can an engineer verify version compatibility for When ExtendWebSocketsToKubelet is enabled and a kubelet node advertises support, exec/attach/portfor in Kubernetes?",compatibility,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-extend-websockets-to-kubelet-md,NEEDS_HUMAN_REVIEW,,
candidate-0eb8e21b56a2,How can an engineer verify version compatibility for Using multiple Ingress controllers in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-services-networking-ingress-controllers-md,NEEDS_HUMAN_REVIEW,,
candidate-0f8964d96749,How can an engineer verify version compatibility for Writing for the Kubernetes blog(s) in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-blog-submission-md,NEEDS_HUMAN_REVIEW,,
candidate-102c3a433277,How can an engineer verify version compatibility for Add support for distributed tracing in the kubelet in Kubernetes?,compatibility,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-kubelettracing-md,NEEDS_HUMAN_REVIEW,,
candidate-12659aefd929,How can an engineer verify version compatibility for Add support for distributed tracing in the API server in Kubernetes?,compatibility,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-apiservertracing-md,NEEDS_HUMAN_REVIEW,,
candidate-13247244d28a,How can an engineer verify version compatibility for Storage version to resource mapping in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-overview-working-with-objects-storage-version-md,NEEDS_HUMAN_REVIEW,,
candidate-142c9daf1726,How can an engineer verify version compatibility for Enabling bin packing using MostAllocated strategy in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-resource-bin-packing-md,NEEDS_HUMAN_REVIEW,,
candidate-160ea3cd3f50,How can an engineer verify version compatibility for Data source references in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-storage-volume-populators-and-data-sources-md,NEEDS_HUMAN_REVIEW,,
candidate-163a02755d6c,How can an engineer verify version compatibility for Changes using GitHub in Kubernetes?,compatibility,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-new-content-open-a-pr-md,NEEDS_HUMAN_REVIEW,,
candidate-015ebe36c299,How can an engineer verify version compatibility for Array Functions in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-func-func-array-sgml,NEEDS_HUMAN_REVIEW,,
candidate-020be6dd3ff2,How can an engineer verify version compatibility for Administration Tools in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-external-projects-sgml,NEEDS_HUMAN_REVIEW,,
candidate-03bb91560fd6,How can an engineer verify version compatibility for Geometric Functions and Operators in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-func-func-geometry-sgml,NEEDS_HUMAN_REVIEW,,
candidate-046e6dc7b557,How can an engineer verify version compatibility for Legal Notice in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-legal-sgml,NEEDS_HUMAN_REVIEW,,
candidate-04fa60f39e9d,How can an engineer verify version compatibility for What Is PostgreSQL? in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-intro-sgml,NEEDS_HUMAN_REVIEW,,
candidate-0786aed5383b,How can an engineer verify version compatibility for UUID Generation Functions in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-func-func-uuid-sgml,NEEDS_HUMAN_REVIEW,,
candidate-094ede351c5b,How can an engineer verify version compatibility for The Practical SQL Handbook in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-biblio-sgml,NEEDS_HUMAN_REVIEW,,
candidate-0a5720762db9,How can an engineer verify version compatibility for Large Objects in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-lobj-sgml,NEEDS_HUMAN_REVIEW,,
candidate-0d0f6c0d4d3c,How can an engineer verify version compatibility for Vacuuming Basics in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-maintenance-sgml,NEEDS_HUMAN_REVIEW,,
candidate-0d5de8f46725,How can an engineer verify version compatibility for Sample Uses in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-intagg-sgml,NEEDS_HUMAN_REVIEW,,
candidate-1165d767c694,How can an engineer verify version compatibility for Merge Support Functions in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-func-func-merge-support-sgml,NEEDS_HUMAN_REVIEW,,
candidate-121d6997ceed,How can an engineer verify version compatibility for Compiling and Linking Dynamically-Loaded Functions in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-dfunc-sgml,NEEDS_HUMAN_REVIEW,,
candidate-1242e8a37aa4,How can an engineer verify version compatibility for Getting the Source in PostgreSQL?,compatibility,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-installation-sgml,NEEDS_HUMAN_REVIEW,,
candidate-00f59933fc45,How should an engineer configure Self-registration of Nodes safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-architecture-nodes-md,NEEDS_HUMAN_REVIEW,,
candidate-0215982f3446,How should an engineer configure CSI driver restrictions safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-storage-ephemeral-volumes-md,NEEDS_HUMAN_REVIEW,,
candidate-03471d24bd41,How should an engineer configure How Service ClusterIPs are allocated? safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-services-networking-cluster-ip-allocation-md,NEEDS_HUMAN_REVIEW,,
candidate-037c7fa27897,How should an engineer configure Bootstrap Tokens Overview safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-access-authn-authz-bootstrap-tokens-md,NEEDS_HUMAN_REVIEW,,
candidate-0395e8117373,How should an engineer configure Protection for Secret data on nodes safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-security-linux-security-md,NEEDS_HUMAN_REVIEW,,
candidate-04792b084ab4,How should an engineer configure Enable the setting of PodReadinessGate field for extending Pod readiness evaluation safely in Kubernetes?,configuration,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-podreadinessgates-md,NEEDS_HUMAN_REVIEW,,
candidate-04b30cd454d0,How should an engineer configure Securing a cluster safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-cluster-administration-index-md,NEEDS_HUMAN_REVIEW,,
candidate-0504359d86c2,How should an engineer configure Container networking on Windows safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-services-networking-windows-networking-md,NEEDS_HUMAN_REVIEW,,
candidate-064c6bed94b5,How should an engineer configure Getting the docs repository safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-generate-ref-docs-quickstart-md,NEEDS_HUMAN_REVIEW,,
candidate-08b11791a907,How should an engineer configure PodSecurityPolicy Spec safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-access-authn-authz-psp-to-pod-security-standards-md,NEEDS_HUMAN_REVIEW,,
candidate-08fe8a1673f5,How should an engineer configure The VolumeAttributesClass API safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-storage-volume-attributes-classes-md,NEEDS_HUMAN_REVIEW,,
candidate-097c23afa615,How should an engineer configure Relax the server side validation for the DNS search string (.spec.dnsConfig.searches) for containers safely in Kubernetes?,configuration,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-relaxeddnssearchvalidation-md,NEEDS_HUMAN_REVIEW,,
candidate-09fc9742a6a5,How should an engineer configure Enables support for the Extended Resource allocation by DRA feature safely in Kubernetes?,configuration,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-draextendedresource-md,NEEDS_HUMAN_REVIEW,,
candidate-0a46f79e1ed5,How should an engineer configure Core Components safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-overview-components-md,NEEDS_HUMAN_REVIEW,,
candidate-0a7a460cea07,How should an engineer configure Network Plugin Requirements safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-extend-kubernetes-compute-storage-net-network-plugins-md,NEEDS_HUMAN_REVIEW,,
candidate-0a8bb203b343,How should an engineer configure Planning a cluster safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-cluster-administration-index-md,NEEDS_HUMAN_REVIEW,,
candidate-0b8d200b904a,How should an engineer configure Why use manifest-based admission control? safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-access-authn-authz-manifest-admission-control-md,NEEDS_HUMAN_REVIEW,,
candidate-0c2793e9e854,How should an engineer configure Container runtimes safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-containers-index-md,NEEDS_HUMAN_REVIEW,,
candidate-0d08caee33fe,How should an engineer configure Enable AppArmor related security context settings safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-apparmorfields-md,NEEDS_HUMAN_REVIEW,,
candidate-0f663c8a322c,How should an engineer configure Scheduling framework: TAS plugins configuration safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-topology-aware-scheduling-md,NEEDS_HUMAN_REVIEW,,
candidate-106a7581f7eb,How should an engineer configure Cluster networking types safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-cluster-administration-networking-md,NEEDS_HUMAN_REVIEW,,
candidate-1209e6439c7d,How should an engineer configure Allow the use of the timeZone optional field in CronJobs safely in Kubernetes?,configuration,Kubernetes,advanced,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-cronjobtimezone-md,NEEDS_HUMAN_REVIEW,,
candidate-12b6ca6440af,How should an engineer configure Documentation formatting standards safely in Kubernetes?,configuration,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-style-style-guide-md,NEEDS_HUMAN_REVIEW,,
candidate-01688bfb0e9e,How should an engineer configure Foreign Data Wrapper Callback Routines safely in PostgreSQL?,configuration,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-fdwhandler-sgml,NEEDS_HUMAN_REVIEW,,
candidate-024aea55a59c,How should an engineer configure BRIN Indexes safely in PostgreSQL?,configuration,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-brin-sgml,NEEDS_HUMAN_REVIEW,,
candidate-04b8a9cb6182,How should an engineer configure postgresfdw &mdash safely in PostgreSQL?,configuration,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-postgres-fdw-sgml,NEEDS_HUMAN_REVIEW,,
candidate-0941024d3662,How should an engineer configure Sequence Manipulation Functions safely in PostgreSQL?,configuration,PostgreSQL,intermediate,postgresql-docs-doc-src-sgml-func-func-sequence-sgml,NEEDS_HUMAN_REVIEW,,
